Stad,År,Befolkning
Lysekil,1860,NA
Lysekil,1870,NA
Lysekil,1880,NA
Lysekil,1890,NA
Lysekil,1900,NA
Lysekil,1910,4254
Lysekil,1920,4219
Lysekil,1930,4186
Lysekil,1940,5256
Lysekil,1950,5725
Lysekil,1960,7776
Lysekil,1965,8009
Lysekil,1967,8015
Malmö,1800,3962
Malmö,1810,5796
Malmö,1820,6723
Malmö,1830,8665
Malmö,1840,10203
Malmö,1850,13087
Malmö,1860,18919
Malmö,1870,25593
Malmö,1880,38054
Malmö,1890,48504
Malmö,1900,60857
Malmö,1910,83373
Malmö,1920,113553
Malmö,1930,120307
Malmö,1940,155506
Malmö,1950,191783
Malmö,1960,229388
Malmö,1965,249161
Malmö,1967,254338
Mariefred,1800,699
Mariefred,1810,665
Mariefred,1820,656
Mariefred,1830,575
Mariefred,1840,560
Mariefred,1850,610
Mariefred,1860,663
Mariefred,1870,699
Mariefred,1880,809
Mariefred,1890,977
Mariefred,1900,1192
Mariefred,1910,1363
Mariefred,1920,1402
Mariefred,1930,1362
Mariefred,1940,1542
Mariefred,1950,1649
Mariefred,1960,2562
Mariefred,1965,2563
Mariefred,1967,2517
Mariestad,1800,1049
Mariestad,1810,1044
Mariestad,1820,1338
Mariestad,1830,1542
Mariestad,1840,1609
Mariestad,1850,2059
Mariestad,1860,2277
Mariestad,1870,2354
Mariestad,1880,2658
Mariestad,1890,3097
Mariestad,1900,3737
Mariestad,1910,4608
Mariestad,1920,5310
Mariestad,1930,6143
Mariestad,1940,6507
Mariestad,1950,8338
Mariestad,1960,11879
Mariestad,1965,14911
Mariestad,1967,15410
Marstrand,1800,1327
Marstrand,1810,1259
Marstrand,1820,1087
Marstrand,1830,987
Marstrand,1840,943
Marstrand,1850,1014
Marstrand,1860,1078
Marstrand,1870,1341
Marstrand,1880,1363
Marstrand,1890,1480
Marstrand,1900,1614
Marstrand,1910,1854
Marstrand,1920,1717
Marstrand,1930,1646
Marstrand,1940,1237
Marstrand,1950,1226
Marstrand,1960,1190
Marstrand,1965,1076
Marstrand,1967,1113
Mjölby,1800,NA
Mjölby,1810,NA
Mjölby,1820,NA
Mjölby,1830,NA
Mjölby,1840,NA
Mjölby,1850,NA
Mjölby,1860,NA
Mjölby,1870,NA
Mjölby,1880,NA
Mjölby,1890,NA
Mjölby,1900,NA
Mjölby,1910,NA
Mjölby,1920,5846
Mjölby,1930,5911
Mjölby,1940,6120
Mjölby,1950,8258
Mjölby,1960,10712
Mjölby,1965,12290
Mjölby,1967,12834
Motala,1800,NA
Motala,1810,NA
Motala,1820,NA
Motala,1830,NA
Motala,1840,NA
Motala,1850,NA
Motala,1860,NA
Motala,1870,NA
Motala,1880,NA
Motala,1890,2616
Motala,1900,3047
Motala,1910,2908
Motala,1920,5807
Motala,1930,5985
Motala,1940,7203
Motala,1950,24708
Motala,1960,27148
Motala,1965,27698
Motala,1967,27887
Mölndal,1800,NA
Mölndal,1810,NA
Mölndal,1820,NA
Mölndal,1830,NA
Mölndal,1840,NA
Mölndal,1850,NA
Mölndal,1860,NA
Mölndal,1870,NA
Mölndal,1880,NA
Mölndal,1890,NA
Mölndal,1900,NA
Mölndal,1910,NA
Mölndal,1920,NA
Mölndal,1930,17557
Mölndal,1940,16637
Mölndal,1950,20920
Mölndal,1960,26502
Mölndal,1965,30211
Mölndal,1967,31125
Nacka,1800,NA
Nacka,1810,NA
Nacka,1820,NA
Nacka,1830,NA
Nacka,1840,NA
Nacka,1850,NA
Nacka,1860,NA
Nacka,1870,NA
Nacka,1880,NA
Nacka,1890,NA
Nacka,1900,NA
Nacka,1910,NA
Nacka,1920,NA
Nacka,1930,NA
Nacka,1940,NA
Nacka,1950,15483
Nacka,1960,20740
Nacka,1965,24163
Nacka,1967,25791
Nora,1800,685
Nora,1810,627
Nora,1820,628
Nora,1830,722
Nora,1840,756
Nora,1850,908
Nora,1860,1100
Nora,1870,1440
Nora,1880,1536
Nora,1890,1373
Nora,1900,1679
Nora,1910,2056
Nora,1920,2389
Nora,1930,2631
Nora,1940,2927
Nora,1950,3501
Nora,1960,4073
Nora,1965,10391
Nora,1967,9196
Norrköping,1800,9089
Norrköping,1810,9048
Norrköping,1820,9688
Norrköping,1830,10030
Norrköping,1840,12829
Norrköping,1850,16916
Norrköping,1860,19956
Norrköping,1870,23850
Norrköping,1880,26735
Norrköping,1890,32826
Norrköping,1900,41008
Norrköping,1910,46393
Norrköping,1920,58098
Norrköping,1930,61492
Norrköping,1940,70785
Norrköping,1950,84647
Norrköping,1960,90955
Norrköping,1965,93801
Norrköping,1967,94345
Norrtälje,1800,771
Norrtälje,1810,851
Norrtälje,1820,863
Norrtälje,1830,1114
Norrtälje,1840,1077
Norrtälje,1850,1012
Norrtälje,1860,1199
Norrtälje,1870,1404
Norrtälje,1880,1879
Norrtälje,1890,2477
Norrtälje,1900,3118
Norrtälje,1910,3890
Norrtälje,1920,4959
Norrtälje,1930,4875
Norrtälje,1940,5177
Norrtälje,1950,6514
Norrtälje,1960,8871
Norrtälje,1965,10886
Norrtälje,1967,11918
Nybro,1800,NA
Nybro,1810,NA
Nybro,1820,NA
Nybro,1830,NA
Nybro,1840,NA
Nybro,1850,NA
Nybro,1860,NA
Nybro,1870,NA
Nybro,1880,NA
Nybro,1890,NA
Nybro,1900,NA
Nybro,1910,NA
Nybro,1920,NA
Nybro,1930,NA
Nybro,1940,4825
Nybro,1950,6863
Nybro,1960,8747
Nybro,1965,10355
Nybro,1967,10981
Nyköping,1800,2272
Nyköping,1810,2179
Nyköping,1820,2731
Nyköping,1830,2832
Nyköping,1840,3486
Nyköping,1850,3806
Nyköping,1860,4794
Nyköping,1870,4091
Nyköping,1880,4813
Nyköping,1890,5978
Nyköping,1900,7375
Nyköping,1910,9810
Nyköping,1920,11710
Nyköping,1930,11953
Nyköping,1940,13361
Nyköping,1950,20427
Nyköping,1960,24250
Nyköping,1965,28303
Nyköping,1967,31226
Nynäshamn,1800,NA
Nynäshamn,1810,NA
Nynäshamn,1820,NA
Nynäshamn,1830,NA
Nynäshamn,1840,NA
Nynäshamn,1850,NA
Nynäshamn,1860,NA
Nynäshamn,1870,NA
Nynäshamn,1880,NA
Nynäshamn,1890,NA
Nynäshamn,1900,NA
Nynäshamn,1910,NA
Nynäshamn,1920,NA
Nynäshamn,1930,NA
Nynäshamn,1940,NA
Nynäshamn,1950,7901
Nynäshamn,1960,9411
Nynäshamn,1965,10427
Nynäshamn,1967,10695
Nässjö,1800,NA
Nässjö,1810,NA
Nässjö,1820,NA
Nässjö,1830,NA
Nässjö,1840,NA
Nässjö,1850,NA
Nässjö,1860,NA
Nässjö,1870,NA
Nässjö,1880,NA
Nässjö,1890,NA
Nässjö,1900,NA
Nässjö,1910,NA
Nässjö,1920,8539
Nässjö,1930,9111
Nässjö,1940,10225
Nässjö,1950,15702
Nässjö,1960,18427
Nässjö,1965,19702
Nässjö,1967,20021
Oskarshamn,1800,NA
Oskarshamn,1810,NA
Oskarshamn,1820,NA
Oskarshamn,1830,NA
Oskarshamn,1840,NA
Oskarshamn,1850,NA
Oskarshamn,1860,2237
Oskarshamn,1870,3284
Oskarshamn,1880,5382
Oskarshamn,1890,5853
Oskarshamn,1900,7077
Oskarshamn,1910,7972
Oskarshamn,1920,9231
Oskarshamn,1930,8675
Oskarshamn,1940,8922
Oskarshamn,1950,10683
Oskarshamn,1960,12862
Oskarshamn,1965,13734
Oskarshamn,1967,24894
Oxelösund,1800,NA
Oxelösund,1810,NA
Oxelösund,1820,NA
Oxelösund,1830,NA
Oxelösund,1840,NA
Oxelösund,1850,NA
Oxelösund,1860,NA
Oxelösund,1870,NA
Oxelösund,1880,NA
Oxelösund,1890,NA
Oxelösund,1900,NA
Oxelösund,1910,NA
Oxelösund,1920,NA
Oxelösund,1930,NA
Oxelösund,1940,NA
Oxelösund,1950,5398
Oxelösund,1960,10007
Oxelösund,1965,13810
Oxelösund,1967,14825
Piteå,1800,831
Piteå,1810,634
Piteå,1820,967
Piteå,1830,1216
Piteå,1840,1172
Piteå,1850,1405
Piteå,1860,1554
Piteå,1870,1800
Piteå,1880,2337
Piteå,1890,2691
Piteå,1900,2655
Piteå,1910,2632
Piteå,1920,3043
Piteå,1930,3102
Piteå,1940,4259
Piteå,1950,5567
Piteå,1960,7426
Piteå,1965,8476
Piteå,1967,32316
Ronneby,1800,NA
Ronneby,1810,NA
Ronneby,1820,NA
Ronneby,1830,NA
Ronneby,1840,NA
Ronneby,1850,NA
Ronneby,1860,NA
Ronneby,1870,NA
Ronneby,1880,NA
Ronneby,1890,1899
Ronneby,1900,3152
Ronneby,1910,3473
Ronneby,1920,3360
Ronneby,1930,5774
Ronneby,1940,5868
Ronneby,1950,7241
Ronneby,1960,8699
Ronneby,1965,10125
Ronneby,1967,29376
Sala,1800,2147
Sala,1810,2262
Sala,1820,2570
Sala,1830,2961
Sala,1840,3385
Sala,1850,3252
Sala,1860,3381
Sala,1870,3859
Sala,1880,4836
Sala,1890,5753
Sala,1900,6593
Sala,1910,7693
Sala,1920,7855
Sala,1930,8019
Sala,1940,8043
Sala,1950,9270
Sala,1960,11015
Sala,1965,11696
Sala,1967,11914
Sandviken,1800,NA
Sandviken,1810,NA
Sandviken,1820,NA
Sandviken,1830,NA
Sandviken,1840,NA
Sandviken,1850,NA
Sandviken,1860,NA
Sandviken,1870,NA
Sandviken,1880,NA
Sandviken,1890,NA
Sandviken,1900,NA
Sandviken,1910,NA
Sandviken,1920,NA
Sandviken,1930,NA
Sandviken,1940,NA
Sandviken,1950,18815
Sandviken,1960,22024
Sandviken,1965,23907
Sandviken,1967,25497
Sigtuna,1800,452
Sigtuna,1810,380
Sigtuna,1820,396
Sigtuna,1830,349
Sigtuna,1840,399
Sigtuna,1850,426
Sigtuna,1860,460
Sigtuna,1870,487
Sigtuna,1880,609
Sigtuna,1890,552
Sigtuna,1900,568
Sigtuna,1910,669
Sigtuna,1920,709
Sigtuna,1930,1030
Sigtuna,1940,1337
Sigtuna,1950,2307
Sigtuna,1960,3212
Sigtuna,1965,3795
Sigtuna,1967,3987
Simrishamn,1800,644
Simrishamn,1810,700
Simrishamn,1820,975
Simrishamn,1830,977
Simrishamn,1840,1046
Simrishamn,1850,1365
Simrishamn,1860,1415
Simrishamn,1870,1532
Simrishamn,1880,1841
Simrishamn,1890,1966
Simrishamn,1900,2062
Simrishamn,1910,2134
Simrishamn,1920,2346
Simrishamn,1930,2505
Simrishamn,1940,2795
Simrishamn,1950,3463
Simrishamn,1960,7308
Simrishamn,1965,8082
Simrishamn,1967,7974
"Skanör med 
  Falsterbo",1800,682
"Skanör med 
  Falsterbo",1810,721
"Skanör med 
  Falsterbo",1820,728
"Skanör med 
  Falsterbo",1830,679
"Skanör med 
  Falsterbo",1840,847
"Skanör med 
  Falsterbo",1850,1037
"Skanör med 
  Falsterbo",1860,1137
"Skanör med 
  Falsterbo",1870,1094
"Skanör med 
  Falsterbo",1880,1049
"Skanör med 
  Falsterbo",1890,1078
"Skanör med 
  Falsterbo",1900,933
"Skanör med 
  Falsterbo",1910,1023
"Skanör med 
  Falsterbo",1920,1140
"Skanör med 
  Falsterbo",1930,1097
"Skanör med 
  Falsterbo",1940,1051
"Skanör med 
  Falsterbo",1950,1002
"Skanör med 
  Falsterbo",1960,895
"Skanör med 
  Falsterbo",1965,1547
"Skanör med 
  Falsterbo",1967,2281
Skanör,1800,526
Skanör,1810,546
Skanör,1820,541
Skanör,1830,499
Skanör,1840,629
Skanör,1850,755
Skanör,1860,824
Skanör,1870,803
Skanör,1880,710
Skanör,1890,718
Skanör,1900,667
Skanör,1910,639
Skanör,1920,727
Skanör,1930,705
Skanör,1940,599
Skanör,1950,596
Skanör,1960,507
Skanör,1965,978
Skanör,1967,1563
Falsterbo,1800,156
Falsterbo,1810,175
Falsterbo,1820,187
Falsterbo,1830,180
Falsterbo,1840,218
Falsterbo,1850,282
Falsterbo,1860,313
Falsterbo,1870,291
Falsterbo,1880,339
Falsterbo,1890,360
Falsterbo,1900,266
Falsterbo,1910,384
Falsterbo,1920,413
Falsterbo,1930,392
Falsterbo,1940,452
Falsterbo,1950,406
Falsterbo,1960,388
Falsterbo,1965,569
Falsterbo,1967,718
Skara,1800,826
Skara,1810,848
Skara,1820,1271
Skara,1830,1498
Skara,1840,1638
Skara,1850,1866
Skara,1860,2246
Skara,1870,2560
Skara,1880,3122
Skara,1890,3813
Skara,1900,4431
Skara,1910,5666
Skara,1920,6262
Skara,1930,6770
Skara,1940,7364
Skara,1950,8378
Skara,1960,9139
Skara,1965,9942
Skara,1967,10419
Skellefteå,1800,NA
Skellefteå,1810,NA
Skellefteå,1820,NA
Skellefteå,1830,NA
Skellefteå,1840,NA
Skellefteå,1850,NA
Skellefteå,1860,347
Skellefteå,1870,577
Skellefteå,1880,877
Skellefteå,1890,1166
Skellefteå,1900,1279
Skellefteå,1910,1442
Skellefteå,1920,2983
Skellefteå,1930,5203
Skellefteå,1940,8475
Skellefteå,1950,13971
Skellefteå,1960,22730
Skellefteå,1965,24609
Skellefteå,1967,61949
Skänninge,1800,845
Skänninge,1810,777
Skänninge,1820,869
Skänninge,1830,1027
Skänninge,1840,1084
Skänninge,1850,1230
Skänninge,1860,1511
Skänninge,1870,1430
Skänninge,1880,1530
Skänninge,1890,1363
Skänninge,1900,1290
Skänninge,1910,1378
Skänninge,1920,1740
Skänninge,1930,1751
Skänninge,1940,1786
Skänninge,1950,2353
Skänninge,1960,3942
Skänninge,1965,4347
Skänninge,1967,4482
Skövde,1800,423
Skövde,1810,549
Skövde,1820,594
Skövde,1830,618
Skövde,1840,652
Skövde,1850,865
Skövde,1860,1423
Skövde,1870,2280
Skövde,1880,3308
Skövde,1890,4297
Skövde,1900,4872
Skövde,1910,6520
Skövde,1920,9904
Skövde,1930,10848
Skövde,1940,12522
Skövde,1950,17758
Skövde,1960,23946
Skövde,1965,27076
Skövde,1967,28028
Sollefteå,1800,NA
Sollefteå,1810,NA
Sollefteå,1820,NA
Sollefteå,1830,NA
Sollefteå,1840,NA
Sollefteå,1850,NA
Sollefteå,1860,NA
Sollefteå,1870,NA
Sollefteå,1880,NA
Sollefteå,1890,NA
Sollefteå,1900,NA
Sollefteå,1910,NA
Sollefteå,1920,2662
Sollefteå,1930,2735
Sollefteå,1940,3229
Sollefteå,1950,8327
Sollefteå,1960,9888
Sollefteå,1965,9708
Sollefteå,1967,9734
Solna,1800,NA
Solna,1810,NA
Solna,1820,NA
Solna,1830,NA
Solna,1840,NA
Solna,1850,NA
Solna,1860,NA
Solna,1870,NA
Solna,1880,NA
Solna,1890,NA
Solna,1900,NA
Solna,1910,NA
Solna,1920,NA
Solna,1930,NA
Solna,1940,NA
Solna,1950,37047
Solna,1960,51094
Solna,1965,55269
Solna,1967,57645
Stockholm,1800,75517
Stockholm,1810,65474
Stockholm,1820,75569
Stockholm,1830,80621
Stockholm,1840,84161
Stockholm,1850,93070
Stockholm,1860,112391
Stockholm,1870,136016
Stockholm,1880,168775
Stockholm,1890,246454
Stockholm,1900,300624
Stockholm,1910,342323
Stockholm,1920,419440
Stockholm,1930,502213
Stockholm,1940,590503
Stockholm,1950,744143
Stockholm,1960,808294
Stockholm,1965,788503
Stockholm,1967,774217
Strängnäs,1800,1112
Strängnäs,1810,1063
Strängnäs,1820,1131
Strängnäs,1830,1060
Strängnäs,1840,1127
Strängnäs,1850,1244
Strängnäs,1860,1583
Strängnäs,1870,1639
Strängnäs,1880,1594
Strängnäs,1890,1754
Strängnäs,1900,2276
Strängnäs,1910,3001
Strängnäs,1920,4168
Strängnäs,1930,4716
Strängnäs,1940,5231
Strängnäs,1950,7280
Strängnäs,1960,8282
Strängnäs,1965,9093
Strängnäs,1967,9526
Strömstad,1800,1367
Strömstad,1810,1123
Strömstad,1820,1322
Strömstad,1830,1422
Strömstad,1840,1302
Strömstad,1850,1348
Strömstad,1860,1700
Strömstad,1870,1986
Strömstad,1880,2296
Strömstad,1890,2548
Strömstad,1900,2847
Strömstad,1910,2978
Strömstad,1920,2938
Strömstad,1930,3074
Strömstad,1940,2983
Strömstad,1950,3350
Strömstad,1960,4039
Strömstad,1965,4219
Strömstad,1967,9835
Sundbyberg,1800,NA
Sundbyberg,1810,NA
Sundbyberg,1820,NA
Sundbyberg,1830,NA
Sundbyberg,1840,NA
Sundbyberg,1850,NA
Sundbyberg,1860,NA
Sundbyberg,1870,NA
Sundbyberg,1880,NA
Sundbyberg,1890,NA
Sundbyberg,1900,NA
Sundbyberg,1910,NA
Sundbyberg,1920,NA
Sundbyberg,1930,8470
Sundbyberg,1940,11044
Sundbyberg,1950,24579
Sundbyberg,1960,27059
Sundbyberg,1965,28293
Sundbyberg,1967,28661
Sundsvall,1800,1468
Sundsvall,1810,1473
Sundsvall,1820,1720
Sundsvall,1830,1895
Sundsvall,1840,2075
Sundsvall,1850,2837
Sundsvall,1860,4432
Sundsvall,1870,6405
Sundsvall,1880,9116
Sundsvall,1890,13215
Sundsvall,1900,14831
Sundsvall,1910,16854
Sundsvall,1920,16776
Sundsvall,1930,18007
Sundsvall,1940,18582
Sundsvall,1950,25706
Sundsvall,1960,29493
Sundsvall,1965,59340
Sundsvall,1967,62278
Säffle,1800,NA
Säffle,1810,NA
Säffle,1820,NA
Säffle,1830,NA
Säffle,1840,NA
Säffle,1850,NA
Säffle,1860,NA
Säffle,1870,NA
Säffle,1880,NA
Säffle,1890,NA
Säffle,1900,NA
Säffle,1910,NA
Säffle,1920,NA
Säffle,1930,NA
Säffle,1940,NA
Säffle,1950,NA
Säffle,1960,10864
Säffle,1965,12089
Säffle,1967,12562
Säter,1800,409
Säter,1810,467
Säter,1820,525
Säter,1830,576
Säter,1840,552
Säter,1850,534
Säter,1860,505
Säter,1870,515
Säter,1880,541
Säter,1890,552
Säter,1900,627
Säter,1910,1092
Säter,1920,1778
Säter,1930,2175
Säter,1940,2243
Säter,1950,2517
Säter,1960,4530
Säter,1965,4634
Säter,1967,4650
Sävsjö,1800,NA
Sävsjö,1810,NA
Sävsjö,1820,NA
Sävsjö,1830,NA
Sävsjö,1840,NA
Sävsjö,1850,NA
Sävsjö,1860,NA
Sävsjö,1870,NA
Sävsjö,1880,NA
Sävsjö,1890,NA
Sävsjö,1900,NA
Sävsjö,1910,NA
Sävsjö,1920,NA
Sävsjö,1930,NA
Sävsjö,1940,NA
Sävsjö,1950,4413
Sävsjö,1960,5138
Sävsjö,1965,5554
Sävsjö,1967,5525
Söderhamn,1800,1422
Söderhamn,1810,1348
Söderhamn,1820,1389
Söderhamn,1830,1514
Söderhamn,1840,1590
Söderhamn,1850,1757
Söderhamn,1860,2786
Söderhamn,1870,4656
Söderhamn,1880,7937
Söderhamn,1890,10093
Söderhamn,1900,11258
Söderhamn,1910,11412
Söderhamn,1920,11264
Söderhamn,1930,11644
Söderhamn,1940,10004
Söderhamn,1950,11524
Söderhamn,1960,13010
Söderhamn,1965,13457
Söderhamn,1967,13792
Söderköping,1800,817
Söderköping,1810,819
Söderköping,1820,883
Söderköping,1830,832
Söderköping,1840,1145
Söderköping,1850,1254
Söderköping,1860,1549
Söderköping,1870,1585
Söderköping,1880,1783
Söderköping,1890,1840
Söderköping,1900,1922
Söderköping,1910,2118
Söderköping,1920,2597
Söderköping,1930,2868
Söderköping,1940,2783
Söderköping,1950,3103
Söderköping,1960,5420
Söderköping,1965,5793
Söderköping,1967,5952
Södertälje,1800,960
Södertälje,1810,975
Södertälje,1820,944
Södertälje,1830,1053
Södertälje,1840,1156
Södertälje,1850,1245
Södertälje,1860,1719
Södertälje,1870,2150
Södertälje,1880,3510
Södertälje,1890,4590
Södertälje,1900,8207
Södertälje,1910,11060
Södertälje,1920,14966
Södertälje,1930,14369
Södertälje,1940,15872
Södertälje,1950,25300
Södertälje,1960,33152
Södertälje,1965,46830
Södertälje,1967,52503
Sölvesborg,1800,NA
Sölvesborg,1810,NA
Sölvesborg,1820,NA
Sölvesborg,1830,NA
Sölvesborg,1840,1284
Sölvesborg,1850,1464
Sölvesborg,1860,1603
Sölvesborg,1870,1478
Sölvesborg,1880,1599
Sölvesborg,1890,1531
Sölvesborg,1900,1937
Sölvesborg,1910,2949
Sölvesborg,1920,3760
Sölvesborg,1930,3943
Sölvesborg,1940,4085
Sölvesborg,1950,4504
Sölvesborg,1960,6003
Sölvesborg,1965,6487
Sölvesborg,1967,6724
Tidaholm,1800,NA
Tidaholm,1810,NA
Tidaholm,1820,NA
Tidaholm,1830,NA
Tidaholm,1840,NA
Tidaholm,1850,NA
Tidaholm,1860,NA
Tidaholm,1870,NA
Tidaholm,1880,NA
Tidaholm,1890,NA
Tidaholm,1900,NA
Tidaholm,1910,4718
Tidaholm,1920,4612
Tidaholm,1930,4816
Tidaholm,1940,4532
Tidaholm,1950,5923
Tidaholm,1960,6639
Tidaholm,1965,6977
Tidaholm,1967,7260
Torshälla,1800,568
Torshälla,1810,541
Torshälla,1820,556
Torshälla,1830,519
Torshälla,1840,596
Torshälla,1850,630
Torshälla,1860,820
Torshälla,1870,783
Torshälla,1880,906
Torshälla,1890,1356
Torshälla,1900,1893
Torshälla,1910,1898
Torshälla,1920,1889
Torshälla,1930,1826
Torshälla,1940,1920
Torshälla,1950,3537
Torshälla,1960,6083
Torshälla,1965,7247
Torshälla,1967,7916
Tranås,1800,NA
Tranås,1810,NA
Tranås,1820,NA
Tranås,1830,NA
Tranås,1840,NA
Tranås,1850,NA
Tranås,1860,NA
Tranås,1870,NA
Tranås,1880,NA
Tranås,1890,NA
Tranås,1900,NA
Tranås,1910,NA
Tranås,1920,5806
Tranås,1930,6439
Tranås,1940,7516
Tranås,1950,10334
Tranås,1960,15402
Tranås,1965,16672
Tranås,1967,18854
Trelleborg,1800,NA
Trelleborg,1810,NA
Trelleborg,1820,NA
Trelleborg,1830,NA
Trelleborg,1840,NA
Trelleborg,1850,NA
Trelleborg,1860,NA
Trelleborg,1870,1993
Trelleborg,1880,2307
Trelleborg,1890,2360
Trelleborg,1900,3037
Trelleborg,1910,9909
Trelleborg,1920,11385
Trelleborg,1930,13024
Trelleborg,1940,14550
Trelleborg,1950,17186
Trelleborg,1960,19209
Trelleborg,1965,21948
Trelleborg,1967,35313
Trollhättan,1800,NA
Trollhättan,1810,NA
Trollhättan,1820,NA
Trollhättan,1830,NA
Trollhättan,1840,NA
Trollhättan,1850,NA
Trollhättan,1860,NA
Trollhättan,1870,NA
Trollhättan,1880,NA
Trollhättan,1890,NA
Trollhättan,1900,NA
Trollhättan,1910,NA
Trollhättan,1920,14763
Trollhättan,1930,15014
Trollhättan,1940,17507
Trollhättan,1950,24157
Trollhättan,1960,32051
Trollhättan,1965,35451
Trollhättan,1967,40803
Trosa,1800,479
Trosa,1810,459
Trosa,1820,488
Trosa,1830,532
Trosa,1840,529
Trosa,1850,471
Trosa,1860,445
Trosa,1870,453
Trosa,1880,545
Trosa,1890,600
Trosa,1900,720
Trosa,1910,913
Trosa,1920,913
Trosa,1930,800
Trosa,1940,1004
Trosa,1950,1230
Trosa,1960,1313
Trosa,1965,1708
Trosa,1967,1859
Uddevalla,1800,4081
Uddevalla,1810,3100
Uddevalla,1820,3655
Uddevalla,1830,3624
Uddevalla,1840,3576
Uddevalla,1850,3832
Uddevalla,1860,4629
Uddevalla,1870,5540
Uddevalla,1880,7037
Uddevalla,1890,7643
Uddevalla,1900,9442
Uddevalla,1910,12583
Uddevalla,1920,13753
Uddevalla,1930,15104
Uddevalla,1940,16782
Uddevalla,1950,24982
Uddevalla,1960,34290
Uddevalla,1965,36376
Uddevalla,1967,36480
Ulricehamn,1800,633
Ulricehamn,1810,750
Ulricehamn,1820,1240
Ulricehamn,1830,1253
Ulricehamn,1840,1328
Ulricehamn,1850,1455
Ulricehamn,1860,1424
Ulricehamn,1870,1038
Ulricehamn,1880,1215
Ulricehamn,1890,1162
Ulricehamn,1900,1381
Ulricehamn,1910,2197
Ulricehamn,1920,3287
Ulricehamn,1930,4138
Ulricehamn,1940,6378
Ulricehamn,1950,7705
Ulricehamn,1960,8075
Ulricehamn,1965,8455
Ulricehamn,1967,8527
Umeå,1800,960
Umeå,1810,1039
Umeå,1820,1195
Umeå,1830,1278
Umeå,1840,1269
Umeå,1850,1505
Umeå,1860,1855
Umeå,1870,2565
Umeå,1880,2818
Umeå,1890,3223
Umeå,1900,3883
Umeå,1910,5859
Umeå,1920,7002
Umeå,1930,11138
Umeå,1940,13710
Umeå,1950,17107
Umeå,1960,22623
Umeå,1965,48858
Umeå,1967,51952
Uppsala,1800,5105
Uppsala,1810,4076
Uppsala,1820,4463
Uppsala,1830,4539
Uppsala,1840,5203
Uppsala,1850,6952
Uppsala,1860,8459
Uppsala,1870,11433
Uppsala,1880,15675
Uppsala,1890,21511
Uppsala,1900,22855
Uppsala,1910,25960
Uppsala,1920,28897
Uppsala,1930,30313
Uppsala,1940,38357
Uppsala,1950,63001
Uppsala,1960,77518
Uppsala,1965,86859
Uppsala,1967,97172
Vadstena,1800,1316
Vadstena,1810,1361
Vadstena,1820,1714
Vadstena,1830,1786
Vadstena,1840,1952
Vadstena,1850,2225
Vadstena,1860,2411
Vadstena,1870,2399
Vadstena,1880,2398
Vadstena,1890,2198
Vadstena,1900,2328
Vadstena,1910,2548
Vadstena,1920,2896
Vadstena,1930,2922
Vadstena,1940,2954
Vadstena,1950,3494
Vadstena,1960,4462
Vadstena,1965,4845
Vadstena,1967,6909
Varberg,1800,1402
Varberg,1810,1331
Varberg,1820,1494
Varberg,1830,1787
Varberg,1840,1660
Varberg,1850,2123
Varberg,1860,2503
Varberg,1870,2344
Varberg,1880,2961
Varberg,1890,4387
Varberg,1900,6019
Varberg,1910,7375
Varberg,1920,7934
Varberg,1930,8561
Varberg,1940,10513
Varberg,1950,12550
Varberg,1960,14474
Varberg,1965,15966
Varberg,1967,18498
Vaxholm,1800,975
Vaxholm,1810,987
Vaxholm,1820,958
Vaxholm,1830,871
Vaxholm,1840,921
Vaxholm,1850,911
Vaxholm,1860,1048
Vaxholm,1870,1088
Vaxholm,1880,1278
Vaxholm,1890,1591
Vaxholm,1900,1702
Vaxholm,1910,1625
Vaxholm,1920,3354
Vaxholm,1930,2934
Vaxholm,1940,2765
Vaxholm,1950,3654
Vaxholm,1960,3792
Vaxholm,1965,4322
Vaxholm,1967,4509
Vetlanda,1800,NA
Vetlanda,1810,NA
Vetlanda,1820,NA
Vetlanda,1830,NA
Vetlanda,1840,NA
Vetlanda,1850,NA
Vetlanda,1860,NA
Vetlanda,1870,NA
Vetlanda,1880,NA
Vetlanda,1890,NA
Vetlanda,1900,NA
Vetlanda,1910,NA
Vetlanda,1920,3128
Vetlanda,1930,3501
Vetlanda,1940,4290
Vetlanda,1950,7638
Vetlanda,1960,9389
Vetlanda,1965,10219
Vetlanda,1967,10768
Vimmerby,1800,916
Vimmerby,1810,969
Vimmerby,1820,1154
Vimmerby,1830,1319
Vimmerby,1840,1521
Vimmerby,1850,1436
Vimmerby,1860,1766
Vimmerby,1870,1829
Vimmerby,1880,2033
Vimmerby,1890,2045
Vimmerby,1900,2215
Vimmerby,1910,2689
Vimmerby,1920,2974
Vimmerby,1930,3472
Vimmerby,1940,4052
Vimmerby,1950,5091
Vimmerby,1960,6443
Vimmerby,1965,7076
Vimmerby,1967,7278
Visby,1800,3730
Visby,1810,3577
Visby,1820,3767
Visby,1830,4058
Visby,1840,4157
Visby,1850,4502
Visby,1860,5443
Visby,1870,6167
Visby,1880,6922
Visby,1890,7102
Visby,1900,8376
Visby,1910,9961
Visby,1920,9346
Visby,1930,10467
Visby,1940,12520
Visby,1950,14741
Visby,1960,15604
Visby,1965,17403
Visby,1967,18370
Vänersborg,1800,1453
Vänersborg,1810,1534
Vänersborg,1820,1976
Vänersborg,1830,2396
