Kommun,Civilstånd,Ålder,Kön,År,Antal
1280 Malmö,ogifta,1,Män,1968,1881
1280 Malmö,ogifta,1,Män,1969,1762
1280 Malmö,ogifta,1,Män,1970,1582
1280 Malmö,ogifta,1,Män,1971,1635
1280 Malmö,ogifta,1,Män,1972,1609
1280 Malmö,ogifta,1,Män,1973,1484
1280 Malmö,ogifta,1,Män,1974,1364
1280 Malmö,ogifta,1,Män,1975,1304
1280 Malmö,ogifta,1,Män,1976,1243
1280 Malmö,ogifta,1,Män,1977,1228
1280 Malmö,ogifta,1,Män,1978,1175
1280 Malmö,ogifta,1,Män,1979,1111
1280 Malmö,ogifta,1,Män,1980,1186
1280 Malmö,ogifta,1,Män,1981,1118
1280 Malmö,ogifta,1,Män,1982,1152
1280 Malmö,ogifta,1,Män,1983,1137
1280 Malmö,ogifta,1,Män,1984,1239
1280 Malmö,ogifta,1,Män,1985,1158
1280 Malmö,ogifta,1,Män,1986,1229
1280 Malmö,ogifta,1,Män,1987,1252
1280 Malmö,ogifta,1,Män,1988,1371
1280 Malmö,ogifta,1,Män,1989,1439
1280 Malmö,ogifta,1,Män,1990,1455
1280 Malmö,ogifta,1,Män,1991,1527
1280 Malmö,ogifta,1,Män,1992,1562
1280 Malmö,ogifta,1,Män,1993,1562
1280 Malmö,ogifta,1,Män,1994,1517
1280 Malmö,ogifta,1,Män,1995,1480
1280 Malmö,ogifta,1,Män,1996,1518
1280 Malmö,ogifta,1,Män,1997,1401
1280 Malmö,ogifta,1,Män,1998,1432
1280 Malmö,ogifta,1,Män,1999,1427
1280 Malmö,ogifta,1,Män,2000,1340
1280 Malmö,ogifta,1,Män,2001,1355
1280 Malmö,ogifta,1,Män,2002,1447
1280 Malmö,ogifta,1,Män,2003,1597
1280 Malmö,ogifta,1,Män,2004,1534
1280 Malmö,ogifta,1,Män,2005,1611
1280 Malmö,ogifta,1,Män,2006,1747
1280 Malmö,ogifta,1,Män,2007,1938
1280 Malmö,ogifta,1,Män,2008,2014
1280 Malmö,ogifta,1,Män,2009,2180
1280 Malmö,ogifta,1,Män,2010,2347
1280 Malmö,ogifta,1,Män,2011,2444
1280 Malmö,ogifta,1,Män,2012,2349
1280 Malmö,ogifta,1,Män,2013,2481
1280 Malmö,ogifta,1,Män,2014,2452
1280 Malmö,ogifta,1,Män,2015,2617
1280 Malmö,ogifta,1,Män,2016,2560
1280 Malmö,ogifta,1,Män,2017,2481
1280 Malmö,ogifta,1,Män,2018,2529
1280 Malmö,ogifta,1,Män,2019,2428
1280 Malmö,ogifta,1,Män,2020,2396
1280 Malmö,ogifta,1,Kvinnor,1968,1721
1280 Malmö,ogifta,1,Kvinnor,1969,1666
1280 Malmö,ogifta,1,Kvinnor,1970,1544
1280 Malmö,ogifta,1,Kvinnor,1971,1485
1280 Malmö,ogifta,1,Kvinnor,1972,1456
1280 Malmö,ogifta,1,Kvinnor,1973,1309
1280 Malmö,ogifta,1,Kvinnor,1974,1252
1280 Malmö,ogifta,1,Kvinnor,1975,1292
1280 Malmö,ogifta,1,Kvinnor,1976,1262
1280 Malmö,ogifta,1,Kvinnor,1977,1137
1280 Malmö,ogifta,1,Kvinnor,1978,1029
1280 Malmö,ogifta,1,Kvinnor,1979,1119
1280 Malmö,ogifta,1,Kvinnor,1980,1086
1280 Malmö,ogifta,1,Kvinnor,1981,1076
1280 Malmö,ogifta,1,Kvinnor,1982,1066
1280 Malmö,ogifta,1,Kvinnor,1983,1080
1280 Malmö,ogifta,1,Kvinnor,1984,1048
1280 Malmö,ogifta,1,Kvinnor,1985,1101
1280 Malmö,ogifta,1,Kvinnor,1986,1167
1280 Malmö,ogifta,1,Kvinnor,1987,1261
1280 Malmö,ogifta,1,Kvinnor,1988,1201
1280 Malmö,ogifta,1,Kvinnor,1989,1308
1280 Malmö,ogifta,1,Kvinnor,1990,1415
1280 Malmö,ogifta,1,Kvinnor,1991,1508
1280 Malmö,ogifta,1,Kvinnor,1992,1418
1280 Malmö,ogifta,1,Kvinnor,1993,1457
1280 Malmö,ogifta,1,Kvinnor,1994,1476
1280 Malmö,ogifta,1,Kvinnor,1995,1465
1280 Malmö,ogifta,1,Kvinnor,1996,1438
1280 Malmö,ogifta,1,Kvinnor,1997,1322
1280 Malmö,ogifta,1,Kvinnor,1998,1300
1280 Malmö,ogifta,1,Kvinnor,1999,1320
1280 Malmö,ogifta,1,Kvinnor,2000,1358
1280 Malmö,ogifta,1,Kvinnor,2001,1372
1280 Malmö,ogifta,1,Kvinnor,2002,1344
1280 Malmö,ogifta,1,Kvinnor,2003,1439
1280 Malmö,ogifta,1,Kvinnor,2004,1506
1280 Malmö,ogifta,1,Kvinnor,2005,1559
1280 Malmö,ogifta,1,Kvinnor,2006,1689
1280 Malmö,ogifta,1,Kvinnor,2007,1763
1280 Malmö,ogifta,1,Kvinnor,2008,1888
1280 Malmö,ogifta,1,Kvinnor,2009,2118
1280 Malmö,ogifta,1,Kvinnor,2010,2148
1280 Malmö,ogifta,1,Kvinnor,2011,2322
1280 Malmö,ogifta,1,Kvinnor,2012,2349
1280 Malmö,ogifta,1,Kvinnor,2013,2407
1280 Malmö,ogifta,1,Kvinnor,2014,2443
1280 Malmö,ogifta,1,Kvinnor,2015,2427
1280 Malmö,ogifta,1,Kvinnor,2016,2404
1280 Malmö,ogifta,1,Kvinnor,2017,2426
1280 Malmö,ogifta,1,Kvinnor,2018,2359
1280 Malmö,ogifta,1,Kvinnor,2019,2328
1280 Malmö,ogifta,1,Kvinnor,2020,2318
1280 Malmö,ogifta,2,Män,1968,1852
1280 Malmö,ogifta,2,Män,1969,1865
1280 Malmö,ogifta,2,Män,1970,1696
1280 Malmö,ogifta,2,Män,1971,1520
1280 Malmö,ogifta,2,Män,1972,1499
1280 Malmö,ogifta,2,Män,1973,1478
1280 Malmö,ogifta,2,Män,1974,1355
1280 Malmö,ogifta,2,Män,1975,1319
1280 Malmö,ogifta,2,Män,1976,1274
1280 Malmö,ogifta,2,Män,1977,1179
1280 Malmö,ogifta,2,Män,1978,1180
1280 Malmö,ogifta,2,Män,1979,1157
1280 Malmö,ogifta,2,Män,1980,1070
1280 Malmö,ogifta,2,Män,1981,1152
1280 Malmö,ogifta,2,Män,1982,1087
1280 Malmö,ogifta,2,Män,1983,1143
1280 Malmö,ogifta,2,Män,1984,1124
1280 Malmö,ogifta,2,Män,1985,1235
1280 Malmö,ogifta,2,Män,1986,1142
1280 Malmö,ogifta,2,Män,1987,1190
1280 Malmö,ogifta,2,Män,1988,1239
1280 Malmö,ogifta,2,Män,1989,1349
1280 Malmö,ogifta,2,Män,1990,1413
1280 Malmö,ogifta,2,Män,1991,1452
1280 Malmö,ogifta,2,Män,1992,1523
1280 Malmö,ogifta,2,Män,1993,1546
1280 Malmö,ogifta,2,Män,1994,1561
1280 Malmö,ogifta,2,Män,1995,1525
1280 Malmö,ogifta,2,Män,1996,1464
1280 Malmö,ogifta,2,Män,1997,1513
1280 Malmö,ogifta,2,Män,1998,1384
1280 Malmö,ogifta,2,Män,1999,1423
1280 Malmö,ogifta,2,Män,2000,1403
1280 Malmö,ogifta,2,Män,2001,1316
1280 Malmö,ogifta,2,Män,2002,1337
1280 Malmö,ogifta,2,Män,2003,1384
1280 Malmö,ogifta,2,Män,2004,1511
1280 Malmö,ogifta,2,Män,2005,1490
1280 Malmö,ogifta,2,Män,2006,1602
1280 Malmö,ogifta,2,Män,2007,1682
1280 Malmö,ogifta,2,Män,2008,1914
1280 Malmö,ogifta,2,Män,2009,1960
1280 Malmö,ogifta,2,Män,2010,2097
1280 Malmö,ogifta,2,Män,2011,2283
1280 Malmö,ogifta,2,Män,2012,2352
1280 Malmö,ogifta,2,Män,2013,2269
1280 Malmö,ogifta,2,Män,2014,2375
1280 Malmö,ogifta,2,Män,2015,2376
1280 Malmö,ogifta,2,Män,2016,2541
1280 Malmö,ogifta,2,Män,2017,2450
1280 Malmö,ogifta,2,Män,2018,2455
1280 Malmö,ogifta,2,Män,2019,2436
1280 Malmö,ogifta,2,Män,2020,2346
