Kommunkod,Kommun,Parti,År,Antal
0138,Tyresö,Sverigedemokraterna,1973,NA
0138,Tyresö,Vänsterpartiet,1973,1213
0138,Tyresö,övriga partier,1973,95
0139,Upplands-Bro,Centerpartiet,1973,1633
0139,Upplands-Bro,ej röstande,1973,611
0139,Upplands-Bro,Kristdemokraterna,1973,64
0139,Upplands-Bro,Liberalerna,1973,589
0139,Upplands-Bro,Miljöpartiet,1973,NA
0139,Upplands-Bro,Moderaterna,1973,968
0139,Upplands-Bro,ogiltiga valsedlar,1973,11
0139,Upplands-Bro,Socialdemokraterna,1973,2982
0139,Upplands-Bro,Sverigedemokraterna,1973,NA
0139,Upplands-Bro,Vänsterpartiet,1973,511
0139,Upplands-Bro,övriga partier,1973,40
0140,Nykvarn,Centerpartiet,1973,NA
0140,Nykvarn,ej röstande,1973,NA
0140,Nykvarn,Kristdemokraterna,1973,NA
0140,Nykvarn,Liberalerna,1973,NA
0140,Nykvarn,Miljöpartiet,1973,NA
0140,Nykvarn,Moderaterna,1973,NA
0140,Nykvarn,ogiltiga valsedlar,1973,NA
0140,Nykvarn,Socialdemokraterna,1973,NA
0140,Nykvarn,Sverigedemokraterna,1973,NA
0140,Nykvarn,Vänsterpartiet,1973,NA
0140,Nykvarn,övriga partier,1973,NA
0160,Täby,Centerpartiet,1973,4921
0160,Täby,ej röstande,1973,1612
0160,Täby,Kristdemokraterna,1973,173
0160,Täby,Liberalerna,1973,2609
0160,Täby,Miljöpartiet,1973,NA
0160,Täby,Moderaterna,1973,6781
0160,Täby,ogiltiga valsedlar,1973,61
0160,Täby,Socialdemokraterna,1973,6646
0160,Täby,Sverigedemokraterna,1973,NA
0160,Täby,Vänsterpartiet,1973,1291
0160,Täby,övriga partier,1973,172
0162,Danderyd,Centerpartiet,1973,2833
0162,Danderyd,ej röstande,1973,1037
0162,Danderyd,Kristdemokraterna,1973,126
0162,Danderyd,Liberalerna,1973,2107
0162,Danderyd,Miljöpartiet,1973,NA
0162,Danderyd,Moderaterna,1973,8391
0162,Danderyd,ogiltiga valsedlar,1973,41
0162,Danderyd,Socialdemokraterna,1973,3578
0162,Danderyd,Sverigedemokraterna,1973,NA
0162,Danderyd,Vänsterpartiet,1973,725
0162,Danderyd,övriga partier,1973,106
0163,Sollentuna,Centerpartiet,1973,5657
0163,Sollentuna,ej röstande,1973,1756
0163,Sollentuna,Kristdemokraterna,1973,355
0163,Sollentuna,Liberalerna,1973,2670
0163,Sollentuna,Miljöpartiet,1973,NA
