"Riksdagsval - valresultat, antal röster efter region, parti mm och valår"

"0123 Järfälla","Socialdemokraterna",10998,11537,11951,13682,14262,12949,10798,14114,11716,13521,11188,10217,12049,12635
"0123 Järfälla","Vänsterpartiet",1865,1837,2156,2209,1976,2096,1466,1982,3300,2830,2091,2096,2489,3995
"0123 Järfälla","Sverigedemokraterna",..,..,..,..,..,..,..,..,205,457,836,1915,4317,6847
"0123 Järfälla","övriga partier",183,146,181,113,101,307,2878,795,584,333,781,543,1458,657
"0123 Järfälla","ogiltiga valsedlar",81,125,303,464,378,495,608,615,764,407,593,347,277,294
"0123 Järfälla","ej röstande",2135,2054,2633,2274,3108,4574,4144,4431,6871,7514,7351,7091,7184,7282
"0125 Ekerö","Moderaterna",1932,2284,3040,3929,3796,3447,4234,4735,4910,3562,6625,7553,6613,5010
"0125 Ekerö","Centerpartiet",2002,2198,1643,1325,881,992,807,904,449,516,1040,1169,1208,2002
"0125 Ekerö","Liberalerna",960,1288,1198,706,2006,2054,1623,1294,762,2779,1529,1498,1250,1361
"0125 Ekerö","Kristdemokraterna",79,56,59,83,..,190,621,446,1623,1434,1093,1136,1068,1398
"0125 Ekerö","Miljöpartiet",..,..,..,314,198,774,628,797,689,866,980,1321,1404,1016
"0125 Ekerö","Socialdemokraterna",2673,2754,2758,2975,3021,2914,2600,3579,3025,3522,2535,2120,2734,3059
"0125 Ekerö","Vänsterpartiet",417,483,576,500,433,509,330,542,906,712,483,507,542,848
"0125 Ekerö","Sverigedemokraterna",..,..,..,..,..,..,..,..,66,107,212,540,1590,2887
"0125 Ekerö","övriga partier",23,16,43,16,32,22,1101,308,185,137,331,184,604,233
"0125 Ekerö","ogiltiga valsedlar",14,27,69,95,73,146,218,228,266,167,213,118,145,132
"0125 Ekerö","ej röstande",490,475,639,647,765,1300,1174,1432,2064,2201,1943,1778,1756,1526
"0126 Huddinge","Moderaterna",4951,6766,9574,12371,11691,9951,12335,12451,13153,8924,17041,20769,17455,14789
"0126 Huddinge","Centerpartiet",7771,6945,4344,3437,1867,2196,1358,1346,707,863,2056,2362,2426,4620
"0126 Huddinge","Liberalerna",3379,5187,4796,2249,6973,6288,4855,3782,2340,7785,4423,4127,3434,3772
"0126 Huddinge","Kristdemokraterna",334,272,304,396,..,711,1945,1229,4298,3718,2992,2794,2357,3287
"0126 Huddinge","Miljöpartiet",..,..,..,770,652,2401,1552,2115,1790,2159,2630,4090,4845,3271
"0126 Huddinge","Socialdemokraterna",13217,14714,14968,16994,16579,15153,13059,17721,14566,17036,14118,13320,15401,16033
"0126 Huddinge","Vänsterpartiet",2836,2810,3171,3144,2934,3152,2078,2780,4715,3772,2781,2870,3068,5303
"0126 Huddinge","Sverigedemokraterna",..,..,..,..,..,..,..,..,368,764,1297,2569,5981,9319
"0126 Huddinge","övriga partier",264,229,321,122,416,365,4376,1293,892,686,1123,798,2287,1046
"0126 Huddinge","ogiltiga valsedlar",76,217,395,612,465,687,875,766,928,603,751,494,448,429
"0126 Huddinge","ej röstande",3068,3412,3872,3746,4686,7250,6554,6730,10242,11753,11478,10582,11408,10970
"0127 Botkyrka","Moderaterna",4424,6090,8371,8262,8155,6584,8612,7959,7858,4795,10180,12401,9670,8407
"0127 Botkyrka","Centerpartiet",6774,6629,4186,2551,1548,1953,1194,945,507,556,1226,1147,1185,2354
"0127 Botkyrka","Liberalerna",3162,5036,4519,1682,4965,4622,3657,2588,1671,4967,2890,2560,2078,1992
"0127 Botkyrka","Kristdemokraterna",232,242,282,398,..,592,1793,1072,3243,3327,2537,2110,2472,3691
"0127 Botkyrka","Miljöpartiet",..,..,..,584,553,1920,1249,1722,1409,1645,2030,2849,3545,1749
"0127 Botkyrka","Socialdemokraterna",12297,15322,16167,15437,15037,13875,12306,16511,13249,14987,14465,14761,15806,14680
"0127 Botkyrka","Vänsterpartiet",2149,2320,2768,2482,2306,2632,1736,2265,3917,3573,2710,2943,2989,4471
"0127 Botkyrka","Sverigedemokraterna",..,..,..,..,..,..,..,..,167,416,839,2048,4495,7287
"0127 Botkyrka","övriga partier",324,196,307,115,147,354,2902,994,590,482,784,559,1487,762
"0127 Botkyrka","ogiltiga valsedlar",58,144,309,435,362,584,669,617,617,431,566,359,327,326
"0127 Botkyrka","ej röstande",3022,3428,4180,3282,4434,6869,6577,6812,10691,12322,11984,11225,12596,12717
"0128 Salem","Moderaterna",..,..,..,2339,2207,1888,2240,2282,2270,1543,2980,3558,2984,2480
"0128 Salem","Centerpartiet",..,..,..,739,423,420,331,277,164,173,415,528,515,760
"0128 Salem","Liberalerna",..,..,..,460,1320,1135,1016,772,470,1442,803,850,672,757
"0128 Salem","Kristdemokraterna",..,..,..,98,..,172,452,303,878,740,536,496,549,797
"0128 Salem","Miljöpartiet",..,..,..,158,110,434,351,463,362,386,490,723,755,447
"0128 Salem","Socialdemokraterna",..,..,..,2636,2627,2400,2103,2793,2356,2819,2412,2086,2425,2304
"0128 Salem","Vänsterpartiet",..,..,..,444,378,432,282,414,700,470,343,371,412,597
"0128 Salem","Sverigedemokraterna",..,..,..,..,..,..,..,..,77,122,215,477,1108,1685
"0128 Salem","övriga partier",..,..,..,10,24,20,651,178,122,83,192,126,308,158
"0128 Salem","ogiltiga valsedlar",..,..,..,98,69,91,144,146,146,86,98,97,75,81
"0128 Salem","ej röstande",..,..,..,601,664,1052,971,1003,1365,1526,1441,1353,1358,1397
"0136 Haninge","Moderaterna",3213,4131,6193,8559,8225,6899,9691,9100,9111,6123,13128,16161,13319,11583
"0136 Haninge","Centerpartiet",6539,5588,3933,3213,1852,2078,1438,1416,700,768,1574,1703,1640,3058
"0136 Haninge","Liberalerna",2529,3424,3470,1775,5568,5264,4122,2917,1540,5588,3171,3009,2417,2579
"0136 Haninge","Kristdemokraterna",149,166,185,279,..,553,1526,940,3498,3074,2356,1970,1719,2704
"0136 Haninge","Miljöpartiet",..,..,..,748,482,1975,1194,1887,1632,1919,2199,3206,3520,1875
"0136 Haninge","Socialdemokraterna",10389,11480,13168,15304,15516,14113,12289,16400,13566,15950,13395,12313,14180,13776
"0136 Haninge","Vänsterpartiet",2158,1981,2745,2832,2647,2537,1671,2424,4122,3402,2375,2210,2377,4036
