Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
IFK Göteborg,Elfsborg,2,1,9832,Ragnar Bäckström,NA,1936-08-28,1936_1937
Sandvikens IF,Sleipner,2,4,3900,John Andersson,NA,1936-08-30,1936_1937
IFK Norrköping,Landskrona,1,2,2920,Gustaf Ekberg,NA,1936-08-30,1936_1937
Malmö FF,Örgryte,2,1,8200,Helmer Edlund,NA,1936-08-30,1936_1937
Gårda,AIK,3,1,9770,Erik Granqvist,NA,1936-08-30,1936_1937
Örgryte,Gårda,3,2,8750,Ivar Gustafsson,NA,1936-09-06,1936_1937
Sleipner,Elfsborg,1,3,10865,Otto Ohlsson,NA,1936-09-06,1936_1937
Landskrona,Sandvikens IF,1,0,2425,Ivan Eklind,NA,1936-09-06,1936_1937
IFK Göteborg,Gais,0,3,8750,Fredrik Grönberg,NA,1936-09-06,1936_1937
AIK,IFK Norrköping,3,0,14000,Harvid Abrahamsson,NA,1936-09-06,1936_1937
IFK Norrköping,Djurgården,3,1,3842,David Andersson,NA,1936-09-13,1936_1937
Örgryte,AIK,2,2,8959,Alfred Pärsson,NA,1936-09-13,1936_1937
Sandvikens IF,Gais,2,1,3090,Hjalmar Schager,NA,1936-09-13,1936_1937
Elfsborg,Sleipner,3,4,6300,Ragnar Bäckström,NA,1936-09-13,1936_1937
Sandvikens IF,Djurgården,3,1,2800,Erik Karlsson,NA,1936-09-20,1936_1937
IFK Göteborg,IFK Norrköping,1,1,7677,Erik Malmström,NA,1936-09-20,1936_1937
Gårda,Landskrona,0,6,7677,Hilmer Österqvist,NA,1936-09-20,1936_1937
Malmö FF,AIK,3,0,13813,Sölve Flisberg,NA,1936-09-20,1936_1937
Sleipner,Örgryte,1,4,6969,Rudolf Eklöw,NA,1936-10-04,1936_1937
Landskrona,Elfsborg,2,0,2958,Erik Fast,NA,1936-10-04,1936_1937
AIK,IFK Göteborg,3,4,7000,Otto Ohlsson,NA,1936-10-04,1936_1937
Gais,Djurgården,2,1,4114,Carl E. Andersson,NA,1936-10-04,1936_1937
Djurgården,IFK Göteborg,3,3,6000,Gunnar Olofsson,NA,1936-10-11,1936_1937
Örgryte,Elfsborg,1,1,9700,Hjalmar Schager,NA,1936-10-11,1936_1937
Malmö FF,Gais,0,0,8940,Carl-Gustav Carlsson,NA,1936-10-11,1936_1937
Landskrona,Sleipner,1,3,2696,Harvid Abrahamsson,NA,1936-10-11,1936_1937
IFK Norrköping,Sandvikens IF,0,3,3882,Carl Olsson,NA,1936-10-11,1936_1937
Sleipner,Gårda,4,2,6413,Ragnar Bäckström,NA,1936-10-18,1936_1937
Sandvikens IF,Örgryte,3,2,2200,Ivan Eklind,NA,1936-10-18,1936_1937
IFK Göteborg,Djurgården,2,1,6603,Erik Granqvist,NA,1936-10-18,1936_1937
Elfsborg,IFK Norrköping,3,1,3163,Alfred Pärsson,NA,1936-10-18,1936_1937
AIK,Gais,4,0,13000,Erik Malmström,NA,1936-10-18,1936_1937
IFK Norrköping,Gårda,1,1,3202,Elias Englund,NA,1936-10-25,1936_1937
Malmö FF,Sleipner,1,1,10061,Rudolf Eklöw,NA,1936-10-25,1936_1937
Djurgården,Elfsborg,5,3,9374,Sölve Flisberg,NA,1936-10-25,1936_1937
Gais,AIK,1,3,4841,Erik Fast,NA,1936-10-25,1936_1937
IFK Norrköping,IFK Göteborg,3,2,2790,Fredrik Grönberg,NA,1936-11-01,1936_1937
Landskrona,Gais,0,2,1712,Hilmer Österqvist,NA,1936-11-01,1936_1937
Gårda,Sandvikens IF,2,2,5582,Ernst Hansson,NA,1936-11-01,1936_1937
Elfsborg,Örgryte,5,0,3972,Otto Ohlsson,NA,1936-11-01,1936_1937
AIK,Sleipner,4,1,19937,Carl Olsson,NA,1936-11-01,1936_1937
Elfsborg,IFK Göteborg,0,1,5086,Ivan Eklind,NA,1936-11-08,1936_1937
Örgryte,Landskrona,4,1,5277,Ragnar Bäckström,NA,1936-11-08,1936_1937
Sleipner,IFK Norrköping,2,1,10842,Rudolf Eklöw,NA,1936-11-08,1936_1937
Gais,Sandvikens IF,0,3,5277,Ivar Gustafsson,NA,1936-11-08,1936_1937
Djurgården,Malmö FF,3,2,12486,Harvid Abrahamsson,NA,1936-11-08,1936_1937
IFK Göteborg,Malmö FF,2,1,9545,Sölve Flisberg,NA,1936-11-15,1936_1937
Sandvikens IF,Malmö FF,2,0,2900,Hilmer Österqvist,NA,1936-11-22,1936_1937
Gais,Örgryte,0,4,3525,Erik Malmström,NA,1936-11-22,1936_1937
Örgryte,Malmö FF,4,1,5075,Ivan Eklind,NA,1937-03-29,1936_1937
Malmö FF,IFK Göteborg,5,4,6790,Rudolf Eklöw,NA,1937-04-04,1936_1937
Gårda,Elfsborg,0,1,6407,Sölve Flisberg,NA,1937-04-04,1936_1937
IFK Norrköping,AIK,0,1,9056,Erik Björk,NA,1937-04-11,1936_1937
Malmö FF,Gårda,0,0,7992,Carl-Gustav Carlsson,NA,1937-04-11,1936_1937
IFK Göteborg,Sleipner,1,1,7226,Erik Malmström,NA,1937-04-11,1936_1937
Gais,Landskrona,2,1,7226,Ragnar Bäckström,NA,1937-04-11,1936_1937
Elfsborg,Sandvikens IF,1,0,6644,Erik Granqvist,NA,1937-04-11,1936_1937
Örgryte,IFK Göteborg,0,2,8761,Alfred Pärsson,NA,1937-04-18,1936_1937
Sleipner,Sandvikens IF,2,4,7871,Hjalmar Schager,NA,1937-04-18,1936_1937
Landskrona,IFK Norrköping,2,1,1625,John Johansson,NA,1937-04-18,1936_1937
Elfsborg,Djurgården,2,0,5827,Otto Ohlsson,NA,1937-04-18,1936_1937
AIK,Malmö FF,4,0,24761,Carl Olsson,NA,1937-04-18,1936_1937
Sandvikens IF,Gårda,3,1,3571,Ivar Gustafsson,NA,1937-04-25,1936_1937
IFK Norrköping,Gais,3,0,3407,Ernst Hansson,NA,1937-04-25,1936_1937
Landskrona,Örgryte,0,0,1924,Erik Fast,NA,1937-04-25,1936_1937
IFK Göteborg,AIK,0,1,17634,Sölve Flisberg,NA,1937-04-25,1936_1937
Djurgården,Sleipner,1,3,9466,Harvid Abrahamsson,NA,1937-04-25,1936_1937
Gais,Gårda,2,0,3144,Hilmer Österqvist,NA,1937-04-30,1936_1937
Sleipner,Malmö FF,0,1,7199,Carl Simonsson,NA,1937-05-02,1936_1937
Sandvikens IF,Elfsborg,3,1,7000,Rudolf Eklöw,NA,1937-05-02,1936_1937
Gais,IFK Norrköping,1,3,6336,Ivan Eklind,NA,1937-05-02,1936_1937
AIK,Landskrona,3,1,17714,Erik Karlsson,NA,1937-05-02,1936_1937
Örgryte,Djurgården,3,0,6336,Carl-Gustav Carlsson,NA,1937-05-02,1936_1937
IFK Norrköping,Örgryte,0,1,3801,John Andersson,NA,1937-05-06,1936_1937
Malmö FF,Sandvikens IF,3,1,11453,Vilhelm Berndtsson,NA,1937-05-06,1936_1937
IFK Göteborg,Landskrona,2,3,5579,Elias Englund,NA,1937-05-06,1936_1937
Gårda,Sleipner,1,1,5579,Erik Skoogh,NA,1937-05-06,1936_1937
Elfsborg,AIK,1,1,10195,John Johansson,NA,1937-05-06,1936_1937
Djurgården,Gais,0,2,6669,Erik Malmström,NA,1937-05-06,1936_1937
Gais,Malmö FF,3,1,5866,Ivar Gustafsson,NA,1937-05-09,1936_1937
Sleipner,Djurgården,2,1,5126,Alfred Pärsson,NA,1937-05-09,1936_1937
Sandvikens IF,IFK Norrköping,1,2,3450,Oscar Olsson,NA,1937-05-09,1936_1937
Landskrona,Gårda,0,1,2200,Erik Granqvist,NA,1937-05-09,1936_1937
AIK,Elfsborg,5,1,18338,Otto Ohlsson,NA,1937-05-09,1936_1937
IFK Norrköping,Sleipner,2,4,10327,Ragnar Bäckström,NA,1937-05-14,1936_1937
Örgryte,Gais,1,2,4506,Otto Ohlsson,NA,1937-05-14,1936_1937
Djurgården,AIK,1,2,11387,Ivan Eklind,NA,1937-05-14,1936_1937
Gais,IFK Göteborg,2,1,7211,Erik Björk,NA,1937-05-21,1936_1937
Örgryte,Sleipner,4,1,5369,Gunnar Swärd,NA,1937-05-23,1936_1937
Malmö FF,Djurgården,2,3,7628,Kurt Jalmarsson,NA,1937-05-23,1936_1937
Gårda,IFK Norrköping,3,2,5369,Wilhelm Svensson,NA,1937-05-23,1936_1937
Elfsborg,Landskrona,5,0,4935,Carl Olsson,NA,1937-05-23,1936_1937
AIK,Sandvikens IF,2,0,19603,Sölve Flisberg,NA,1937-05-23,1936_1937
Sleipner,AIK,1,3,9807,Alfred Pärsson,NA,1937-05-28,1936_1937
Djurgården,IFK Norrköping,2,0,5946,Erik Granqvist,NA,1937-05-28,1936_1937
Gårda,Örgryte,0,4,4443,Carl Simonsson,NA,1937-05-28,1936_1937
Landskrona,Malmö FF,3,0,3400,John Andersson,NA,1937-05-30,1936_1937
Gais,Elfsborg,0,0,4278,Erik Fast,NA,1937-05-30,1936_1937
AIK,Gårda,2,1,5942,Erik Malmström,NA,1937-05-30,1936_1937
Sandvikens IF,IFK Göteborg,1,2,3300,Hilmer Österqvist,NA,1937-05-30,1936_1937
IFK Göteborg,Örgryte,1,4,7393,John Johansson,NA,1937-06-04,1936_1937
Örgryte,Sandvikens IF,0,4,5537,Erik Granqvist,NA,1937-06-06,1936_1937
IFK Norrköping,Elfsborg,1,2,3010,Elias Englund,NA,1937-06-06,1936_1937
Gårda,Malmö FF,4,1,5537,Ivan Eklind,NA,1937-06-06,1936_1937
Djurgården,Landskrona,6,2,6349,Werner Andersson,NA,1937-06-06,1936_1937
Sleipner,IFK Göteborg,2,0,2964,Erik Karlsson,NA,1937-06-13,1936_1937
Sandvikens IF,Landskrona,0,2,2800,Wilhelm Svensson,NA,1937-06-13,1936_1937
Malmö FF,IFK Norrköping,5,3,3942,Carl Olsson,NA,1937-06-13,1936_1937
Gårda,Djurgården,1,5,3968,Alfred Pärsson,NA,1937-06-13,1936_1937
Elfsborg,Gais,1,1,2288,Ivar Gustafsson,NA,1937-06-13,1936_1937
AIK,Örgryte,1,0,9439,Otto Ohlsson,NA,1937-06-13,1936_1937
Örgryte,Helsingborg,3,1,9487,Erik Fast,NA,1937-08-01,1937_1938
Sandvikens IF,Elfsborg,2,2,3900,Ernst Hansson,NA,1937-08-01,1937_1938
Malmö FF,Sleipner,1,1,8722,Carl Olsson,NA,1937-08-01,1937_1938
Landskrona,IFK Göteborg,1,3,3100,Carl-Gustav Carlsson,NA,1937-08-01,1937_1938
Brage,Gårda,4,2,5791,Ivar Gustafsson,NA,1937-08-01,1937_1938
AIK,Gais,3,1,15064,Ragnar Ericsson,NA,1937-08-01,1937_1938
Helsingborg,Landskrona,2,0,5721,Ivan Eklind,NA,1937-08-04,1937_1938
Gais,Örgryte,2,0,4958,Ragnar Bäckström,NA,1937-08-06,1937_1938
Helsingborg,IFK Göteborg,0,2,7741,Rudolf Eklöw,NA,1937-08-08,1937_1938
Sleipner,Landskrona,6,0,5723,Vilhelm Berndtsson,NA,1937-08-08,1937_1938
Sandvikens IF,Brage,0,3,8300,Ivan Eklind,NA,1937-08-08,1937_1938
Gårda,AIK,3,1,5947,Alfred Pärsson,NA,1937-08-08,1937_1938
Elfsborg,Örgryte,4,0,4800,Sölve Flisberg,NA,1937-08-08,1937_1938
Gais,IFK Göteborg,1,4,5080,Lars Brandell,NA,1937-08-11,1937_1938
Örgryte,Gårda,1,1,3893,Axel Hult,NA,1937-08-13,1937_1938
Elfsborg,Gårda,2,3,4712,Gunnar Swärd,NA,1937-08-15,1937_1938
Sandvikens IF,AIK,3,3,4700,Carl Josef Keijser,NA,1937-08-15,1937_1938
IFK Göteborg,Brage,1,3,13912,Erik Granqvist,NA,1937-08-15,1937_1938
Gais,Sleipner,2,4,13912,Carl-Gustav Carlsson,NA,1937-08-15,1937_1938
Malmö FF,Helsingborg,1,3,9637,Wilhelm Svensson,NA,1937-08-18,1937_1938
Örgryte,Gais,2,2,3570,Otto Ohlsson,NA,1937-08-20,1937_1938
Helsingborg,Sleipner,4,2,6634,Hilmer Österqvist,NA,1937-08-22,1937_1938
Gårda,Landskrona,1,1,4359,Werner Andersson,NA,1937-08-22,1937_1938
Gais,Sandvikens IF,0,3,4359,Werner Johansson,NA,1937-08-22,1937_1938
Brage,Malmö FF,5,0,6000,Erik Jansson,NA,1937-08-22,1937_1938
AIK,IFK Göteborg,1,1,18320,Sölve Flisberg,NA,1937-08-22,1937_1938
Gårda,IFK Göteborg,3,2,6409,John Andersson,NA,1937-08-27,1937_1938
Örgryte,Elfsborg,5,1,6757,Rudolf Eklöw,NA,1937-08-29,1937_1938
Sleipner,Gais,1,0,7474,Erik Malmström,NA,1937-08-29,1937_1938
Landskrona,Helsingborg,1,0,7200,Carl Simonsson,NA,1937-08-29,1937_1938
Brage,Sandvikens IF,2,3,12225,Ragnar Bäckström,NA,1937-08-29,1937_1938
AIK,Malmö FF,4,0,9753,Erik Björk,NA,1937-08-29,1937_1938
Sandvikens IF,Landskrona,1,0,3604,Hilmer Österqvist,NA,1937-09-05,1937_1938
Malmö FF,Brage,1,2,14216,Vilhelm Berndtsson,NA,1937-09-05,1937_1938
Helsingborg,Örgryte,3,1,7244,Ivar Gustafsson,NA,1937-09-05,1937_1938
IFK Göteborg,AIK,1,2,13514,Erik Fast,NA,1937-09-05,1937_1938
Elfsborg,Gais,2,1,4814,Kurt Jalmarsson,NA,1937-09-05,1937_1938
Örgryte,Malmö FF,1,1,12474,Ernst Hansson,NA,1937-09-12,1937_1938
Sleipner,IFK Göteborg,1,0,7526,Ivan Eklind,NA,1937-09-12,1937_1938
Landskrona,Gårda,3,1,2874,Erik Skoogh,NA,1937-09-12,1937_1938
Gais,Brage,0,2,12474,Ragnar Ericsson,NA,1937-09-12,1937_1938
Elfsborg,Sandvikens IF,1,0,5603,Erik Malmström,NA,1937-09-12,1937_1938
AIK,Helsingborg,1,1,14798,Erik Jansson,NA,1937-09-12,1937_1938
Sandvikens IF,Gais,5,2,2808,Wilhelm Svensson,NA,1937-09-26,1937_1938
Helsingborg,Malmö FF,2,1,8657,John Johansson,NA,1937-09-26,1937_1938
IFK Göteborg,Sleipner,5,1,7980,Ragnar Bäckström,NA,1937-09-26,1937_1938
Gårda,Elfsborg,1,3,7980,Erik Granqvist,NA,1937-09-26,1937_1938
Brage,Örgryte,2,1,5887,Rudolf Eklöw,NA,1937-09-26,1937_1938
AIK,Landskrona,1,1,13642,Torsten Carlsson,NA,1937-09-26,1937_1938
Landskrona,Malmö FF,0,0,3000,Alfred Pärsson,NA,1937-10-03,1937_1938
Sleipner,Gårda,3,2,5586,Werner Andersson,NA,1937-10-10,1937_1938
Sandvikens IF,Helsingborg,2,0,4000,Hans Schloss,NA,1937-10-10,1937_1938
Malmö FF,IFK Göteborg,2,0,7914,Ivan Eklind,NA,1937-10-10,1937_1938
Landskrona,Örgryte,2,0,2400,Sölve Flisberg,NA,1937-10-10,1937_1938
Gais,AIK,0,2,8629,Erik Malmström,NA,1937-10-10,1937_1938
Brage,Elfsborg,1,1,7813,Hilmer Österqvist,NA,1937-10-10,1937_1938
Örgryte,Landskrona,2,1,5814,Kurt Jalmarsson,NA,1937-10-17,1937_1938
Malmö FF,Gais,1,0,9001,Erik Skoogh,NA,1937-10-17,1937_1938
Helsingborg,Sandvikens IF,2,0,7335,Erik Fast,NA,1937-10-17,1937_1938
Gårda,Sleipner,1,1,5814,Verner Johansson,NA,1937-10-17,1937_1938
Elfsborg,IFK Göteborg,3,0,6118,Ragnar Ericsson,NA,1937-10-17,1937_1938
AIK,Brage,2,2,34150,John Johansson,NA,1937-10-17,1937_1938
Sandvikens IF,Sleipner,0,2,3500,John Andersson,NA,1937-10-24,1937_1938
Landskrona,Elfsborg,1,0,1380,Erik Björk,NA,1937-10-24,1937_1938
Helsingborg,AIK,0,3,8091,Sölve Flisberg,NA,1937-10-24,1937_1938
IFK Göteborg,Malmö FF,1,2,5507,Torsten Carlsson,NA,1937-10-24,1937_1938
Brage,Gais,0,1,4700,Erik Granqvist,NA,1937-10-24,1937_1938
Sleipner,Helsingborg,1,0,8962,Wilhelm Svensson,NA,1937-10-31,1937_1938
Malmö FF,Sandvikens IF,0,3,10034,Ivar Gustafsson,NA,1937-10-31,1937_1938
Gårda,Brage,1,0,26178,Gunnar Swärd,NA,1937-10-31,1937_1938
AIK,Elfsborg,4,1,20995,Erik Fast,NA,1937-10-31,1937_1938
Sleipner,Örgryte,3,0,6623,Ernst Hansson,NA,1937-11-07,1937_1938
Malmö FF,AIK,2,0,8935,Kurt Jalmarsson,NA,1937-11-07,1937_1938
IFK Göteborg,Sandvikens IF,0,1,7308,Alfred Pärsson,NA,1937-11-07,1937_1938
Elfsborg,Helsingborg,1,2,5993,Rudolf Eklöw,NA,1937-11-07,1937_1938
Brage,Landskrona,2,3,3890,Ragnar Bäckström,NA,1937-11-07,1937_1938
Örgryte,Sleipner,1,4,3278,Erik Skoogh,NA,1937-11-14,1937_1938
Gais,Elfsborg,2,4,7103,Erik Malmström,NA,1938-03-27,1937_1938
Gårda,Sandvikens IF,1,0,4935,Rudolf Eklöw,NA,1938-04-03,1937_1938
Gais,Landskrona,0,4,4935,Ivan Eklind,NA,1938-04-03,1937_1938
IFK Göteborg,Landskrona,1,4,13098,Erik Granqvist,NA,1938-04-10,1937_1938
Örgryte,Brage,3,0,13098,Sölve Flisberg,NA,1938-04-10,1937_1938
Sleipner,Elfsborg,3,1,9662,Gunnar Swärd,NA,1938-04-10,1937_1938
Helsingborg,Gårda,0,1,5517,Kurt Jalmarsson,NA,1938-04-10,1937_1938
Sleipner,Brage,4,1,17391,Vilhelm Berndtsson,NA,1938-04-18,1937_1938
Malmö FF,Örgryte,2,1,8310,Erik Fast,NA,1938-04-18,1937_1938
Gais,Helsingborg,1,2,5778,Torsten Carlsson,NA,1938-04-18,1937_1938
Elfsborg,AIK,2,0,8538,Werner Andersson,NA,1938-04-18,1937_1938
Sandvikens IF,IFK Göteborg,0,0,2015,Hilmer Österqvist,NA,1938-04-18,1937_1938
Örgryte,Sandvikens IF,4,0,7573,Wilhelm Svensson,NA,1938-04-24,1937_1938
Landskrona,Sleipner,3,3,7500,Ivar Gustafsson,NA,1938-04-24,1937_1938
Elfsborg,Malmö FF,2,1,5287,Carl-Gustav Carlsson,NA,1938-04-24,1937_1938
Brage,Helsingborg,1,2,4900,Erik Björk,NA,1938-04-24,1937_1938
AIK,Gårda,1,2,18979,Ragnar Ericsson,NA,1938-04-24,1937_1938
Gårda,Gais,0,0,3927,Fredrik Grönberg,NA,1938-04-27,1937_1938
IFK Göteborg,Örgryte,0,0,11628,Ragnar Bäckström,NA,1938-04-29,1937_1938
Sleipner,Sandvikens IF,1,1,10211,Carl Simonsson,NA,1938-05-01,1937_1938
Landskrona,Gais,4,0,3500,Ernst Hansson,NA,1938-05-01,1937_1938
Helsingborg,Elfsborg,3,0,7101,Ivan Eklind,NA,1938-05-01,1937_1938
Gårda,Malmö FF,0,0,10801,Erik Skoogh,NA,1938-05-01,1937_1938
Brage,AIK,5,4,11500,Erik Granqvist,NA,1938-05-01,1937_1938
Malmö FF,Landskrona,1,1,10742,Rudolf Eklöw,NA,1938-05-04,1937_1938
Örgryte,IFK Göteborg,1,3,9961,Hans Schloss,NA,1938-05-04,1937_1938
Sleipner,AIK,3,0,14770,Vilhelm Berndtsson,NA,1938-05-06,1937_1938
Gais,Gårda,0,1,2725,Verner Johansson,NA,1938-05-06,1937_1938
Sandvikens IF,Malmö FF,1,0,3009,Ragnar Bäckström,NA,1938-05-08,1937_1938
Landskrona,AIK,2,2,4254,Sölve Flisberg,NA,1938-05-08,1937_1938
IFK Göteborg,Helsingborg,0,1,10042,Erik Fast,NA,1938-05-08,1937_1938
Elfsborg,Brage,6,4,8658,John Johansson,NA,1938-05-08,1937_1938
Gårda,Örgryte,1,1,4210,Ivan Eklind,NA,1938-05-11,1937_1938
IFK Göteborg,Gais,0,0,6971,Ragnar Ericsson,NA,1938-05-13,1937_1938
Sandvikens IF,Gårda,1,1,3531,Ivar Gustafsson,NA,1938-05-15,1937_1938
Helsingborg,Brage,5,1,13818,Rudolf Eklöw,NA,1938-05-15,1937_1938
Gais,Malmö FF,1,1,4232,Erik Jansson,NA,1938-05-15,1937_1938
Elfsborg,Sleipner,2,0,9639,Wilhelm Svensson,NA,1938-05-15,1937_1938
AIK,Örgryte,1,3,13986,Fredrik Grönberg,NA,1938-05-15,1937_1938
IFK Göteborg,Gårda,3,2,7929,Torsten Carlsson,NA,1938-05-20,1937_1938
Landskrona,Sandvikens IF,3,1,3224,Vilhelm Berndtsson,NA,1938-05-22,1937_1938
Örgryte,AIK,1,3,8764,Verner Johansson,NA,1938-05-22,1937_1938
Brage,Sleipner,0,0,8449,Hilmer Österqvist,NA,1938-05-22,1937_1938
Malmö FF,Elfsborg,2,1,10924,Torsten Carlsson,NA,1938-05-22,1937_1938
Sleipner,Malmö FF,1,1,6575,Wilhelm Svensson,NA,1938-05-26,1937_1938
Gårda,Helsingborg,1,1,4783,Erik Granqvist,NA,1938-05-26,1937_1938
Elfsborg,Landskrona,3,2,4500,Erik Björk,NA,1938-05-26,1937_1938
Brage,IFK Göteborg,4,1,3543,Sölve Flisberg,NA,1938-05-26,1937_1938
AIK,Sandvikens IF,3,2,9520,Gunnar Swärd,NA,1938-05-26,1937_1938
Sandvikens IF,Örgryte,0,2,1827,Hilmer Österqvist,NA,1938-05-29,1937_1938
Malmö FF,Gårda,0,0,8897,Ragnar Ericsson,NA,1938-05-29,1937_1938
Landskrona,Brage,3,1,3706,Erik Fast,NA,1938-05-29,1937_1938
Helsingborg,Gais,2,3,4070,Ivar Gustafsson,NA,1938-05-29,1937_1938
IFK Göteborg,Elfsborg,0,2,9409,Ragnar Bäckström,NA,1938-05-29,1937_1938
AIK,Sleipner,3,1,19952,John Johansson,NA,1938-05-29,1937_1938
Sandvikens IF,Malmö FF,1,2,2810,Tryggve Eriksson,NA,1938-07-31,1938_1939
Helsingborg,Elfsborg,1,2,5093,Ivan Eklind,NA,1938-07-31,1938_1939
Hallstahammar,Landskrona,1,3,4000,Torsten Carlsson,NA,1938-07-31,1938_1939
Degerfors,Sleipner,1,3,6517,Rudolf Eklöw,NA,1938-07-31,1938_1939
Brage,Örgryte,2,2,5168,Erik Jansson,NA,1938-07-31,1938_1939
AIK,Gårda,3,2,11576,Sölve Flisberg,NA,1938-07-31,1938_1939
Landskrona,Hallstahammar,2,0,2336,Carl Simonsson,NA,1938-08-07,1938_1939
Örgryte,Degerfors,1,0,4822,Carl-Gustav Carlsson,NA,1938-08-14,1938_1939
Sleipner,Sandvikens IF,2,1,5010,Verner Johansson,NA,1938-08-14,1938_1939
Malmö FF,AIK,2,3,11960,Vilhelm Berndtsson,NA,1938-08-14,1938_1939
Landskrona,Brage,1,1,3457,Ragnar Ericsson,NA,1938-08-14,1938_1939
Hallstahammar,Helsingborg,1,0,3382,Wilhelm Svensson,NA,1938-08-14,1938_1939
Elfsborg,Gårda,1,1,4761,Erik Malmström,NA,1938-08-14,1938_1939
Gårda,Örgryte,3,0,3296,Hilmer Österqvist,NA,1938-08-19,1938_1939
Sandvikens IF,Landskrona,1,2,3195,Ernst Hansson,NA,1938-08-21,1938_1939
Helsingborg,Sleipner,4,1,6193,Ivar Gustafsson,NA,1938-08-21,1938_1939
Degerfors,Malmö FF,3,0,3873,Erik Björk,NA,1938-08-21,1938_1939
Brage,Hallstahammar,1,1,4662,Hans Schloss,NA,1938-08-21,1938_1939
AIK,Elfsborg,4,3,13446,Erik Granqvist,NA,1938-08-21,1938_1939
Örgryte,Elfsborg,0,3,4483,Torsten Carlsson,NA,1938-08-24,1938_1939
Sleipner,Brage,6,1,9198,Ivan Eklind,NA,1938-08-28,1938_1939
Malmö FF,Örgryte,2,0,5753,Hjalmar Schager,NA,1938-08-28,1938_1939
Landskrona,Helsingborg,1,1,8167,Erik Fast,NA,1938-08-28,1938_1939
Hallstahammar,AIK,3,1,6000,Fredrik Grönberg,NA,1938-08-28,1938_1939
Gårda,Sandvikens IF,3,2,5879,Verner Johansson,NA,1938-08-28,1938_1939
Elfsborg,Degerfors,10,1,6444,Erik Skoogh,NA,1938-08-28,1938_1939
Helsingborg,Degerfors,3,1,6442,Sölve Flisberg,NA,1938-09-04,1938_1939
Sandvikens IF,Hallstahammar,2,0,3200,Carl Josef Keijser,NA,1938-09-11,1938_1939
Helsingborg,Malmö FF,2,1,7052,Rudolf Eklöw,NA,1938-09-11,1938_1939
Elfsborg,Örgryte,1,0,4664,Kurt Jalmarsson,NA,1938-09-11,1938_1939
Degerfors,Landskrona,5,0,4700,Hilmer Österqvist,NA,1938-09-11,1938_1939
Brage,Gårda,3,2,5978,Fredrik Grönberg,NA,1938-09-11,1938_1939
AIK,Sleipner,2,0,11996,Vilhelm Berndtsson,NA,1938-09-11,1938_1939
Örgryte,Malmö FF,5,1,3474,Erik Fast,NA,1938-09-18,1938_1939
Sleipner,Elfsborg,2,4,6895,Erik Jansson,NA,1938-09-18,1938_1939
Landskrona,Gårda,2,1,2665,Ivar Gustafsson,NA,1938-09-18,1938_1939
Helsingborg,AIK,1,1,8251,Erik Björk,NA,1938-09-18,1938_1939
Hallstahammar,Brage,3,0,4000,Ernst Hansson,NA,1938-09-18,1938_1939
Degerfors,Sandvikens IF,4,3,3991,Erik Granqvist,NA,1938-09-18,1938_1939
Sandvikens IF,Örgryte,2,0,3008,Ragnar Bäckström,NA,1938-09-25,1938_1939
Malmö FF,Hallstahammar,2,0,8745,Carl-Gustav Carlsson,NA,1938-09-25,1938_1939
Gårda,Sleipner,4,1,7723,Erik Malmström,NA,1938-09-25,1938_1939
Elfsborg,Landskrona,4,1,9151,Sölve Flisberg,NA,1938-09-25,1938_1939
Brage,Degerfors,2,2,4800,Carl Simonsson,NA,1938-09-25,1938_1939
AIK,Helsingborg,2,3,16177,Ragnar Ericsson,NA,1938-09-25,1938_1939
Örgryte,AIK,3,1,12654,Gunnar Swärd,NA,1938-10-09,1938_1939
Sleipner,Malmö FF,2,3,5858,Erik Granqvist,NA,1938-10-09,1938_1939
Landskrona,Sandvikens IF,4,0,1212,Torsten Carlsson,NA,1938-10-09,1938_1939
Helsingborg,Gårda,0,2,3644,Erik Skoogh,NA,1938-10-09,1938_1939
Elfsborg,Hallstahammar,4,1,5194,Rudolf Eklöw,NA,1938-10-09,1938_1939
Degerfors,Brage,1,2,6276,Hans Schloss,NA,1938-10-09,1938_1939
Sandvikens IF,Helsingborg,4,0,4016,Carl-Erik Nilsson,NA,1938-10-16,1938_1939
Landskrona,Sleipner,0,2,3247,Ivan Eklind,NA,1938-10-16,1938_1939
Hallstahammar,Örgryte,1,6,4200,Hilmer Österqvist,NA,1938-10-16,1938_1939
Gårda,Malmö FF,2,2,12865,Wilhelm Svensson,NA,1938-10-16,1938_1939
Brage,Elfsborg,0,1,7427,Vilhelm Berndtsson,NA,1938-10-16,1938_1939
AIK,Degerfors,2,3,17245,Erik Jansson,NA,1938-10-16,1938_1939
Örgryte,Sandvikens IF,2,4,10063,Erik Malmström,NA,1938-10-23,1938_1939
Sleipner,Gårda,3,0,7035,Ragnar Bäckström,NA,1938-10-23,1938_1939
Malmö FF,Landskrona,1,1,9996,Kurt Jalmarsson,NA,1938-10-23,1938_1939
Helsingborg,Brage,0,0,5742,Ragnar Ericsson,NA,1938-10-23,1938_1939
Elfsborg,AIK,2,1,11702,Erik Fast,NA,1938-10-23,1938_1939
Degerfors,Hallstahammar,3,1,4500,Ivar Gustafsson,NA,1938-10-23,1938_1939
Sandvikens IF,Elfsborg,0,0,5992,Ivan Eklind,NA,1938-10-30,1938_1939
