Namn,K,M
Abdelkerim,0,15
Abdelkhalak,0,2
Abdelkhalek,0,7
Abdelkrim,0,38
Abdella,0,48
Abdellah,0,90
Abdellateef,0,2
Abdellatif,0,64
Abdel-Latif,0,4
Abdellaziz,0,6
Abdelmadjid,0,6
Abdelmajed,0,5
Abdelmajid,0,34
Abdelmalek,0,17
Abdelmalik,0,9
Abdelmasih,0,5
Abdelmassih,0,11
Abdelmenem,0,3
Abdelmesih,0,2
Abdelmjid,0,4
Abdelmohsen,0,2
Abdelmomen,0,2
Abdelmoneim,0,5
Abdelmonem,0,5
Abdelmonim,0,2
Abdelmoumen,0,2
Abdelmounaim,0,3
Abdelmounim,0,2
Abdelmoutalib,0,2
Abdelmunem,0,3
Abdelnaser,0,5
Abdelnasser,0,5
Abdelnassir,0,3
Abdelnoor,0,2
Abdelnour,0,2
Abdelouahab,0,6
Abdelouahed,0,9
Abdelouahhab,0,2
Abdelouahid,0,8
Abdelqader,0,5
Abdel-Qader,0,2
Abdelraheem,0,2
Abdelrahim,0,21
Abdel-Rahman,0,6
Abdelrahman,0,181
Abdelrahmen,0,2
Abdelraman,0,2
Abdelraof,0,2
Abdelraouf,0,6
Abdelrashid,0,4
Abdelrazag,0,2
Abdelrazak,0,4
Abdelrazek,0,4
Abdelrazik,0,2
Abdelrazzak,0,3
Abdelrehim,0,2
Abdelrezak,0,4
Abdelrhani,0,2
Abdelrhman,0,2
Abdelsalam,0,19
Abdel-Salam,0,2
Abdelsamad,0,2
Abdelsatar,0,5
Abdelsattar,0,3
Abdeltif,0,2
Abdelwahab,0,24
Abdelwahad,0,3
Abdelwaheb,0,2
Abdelwahed,0,5
Abdelwasie,0,3
Abdelwehab,0,2
Abdelwhab,0,2
Abdenacer,0,2
Abdenbi,0,3
Abdennabi,0,2
Abdennacer,0,2
Abdennaceur,0,3
Abdennour,0,8
Abdenor,0,2
Abdenour,0,10
Abdenur,0,3
Abderahim,0,4
Abderahman,0,8
Abderahmane,0,2
Abderazak,0,2
Abderrachid,0,2
Abderrahim,0,69
Abderrahman,0,34
Abderrahmane,0,46
Abderrahmen,0,2
Abderrahmene,0,3
Abderraouf,0,3
Abderrazak,0,22
Abderrazek,0,4
Abderrazzak,0,6
Abderrezak,0,5
Abdesalam,0,3
Abdesamad,0,2
Abdeslam,0,23
Abdeslem,0,2
Abdessadek,0,5
Abdessalam,0,4
Abdessalem,0,7
Abdessamad,0,22
Abdessatar,0,4
Abdessattar,0,2
Abdesselam,0,6
Abdesslam,0,7
Abdesslem,0,2
Abdi,12,1149
Abdi Aziz,0,11
Abdi Fataah,0,2
Abdi Fatah,0,6
Abdi Hamid,0,3
Abdi Latif,0,2
Abdi Mahad,0,2
Abdi Malik,0,4
Abdi Naasir,0,2
Abdi Najiib,0,2
Abdi Nasir,0,2
Abdi Qadir,0,2
Abdi Qani,0,3
Abdi Rahman,0,8
Abdi Rashid,0,4
Abdi Rizak,0,2
Abdi Salam,0,2
Abdi Samad,0,2
Abdi Shakur,0,2
Abdi Shakuur,0,2
Abdiadiim,0,2
Abdiasiis,0,4
Abdiasis,0,78
Abdiaziiz,0,8
Abdiazis,0,3
Abdiaziz,0,292
Abdi-Aziz,0,8
Abdiazziz,0,2
Abdibaasid,0,3
Abdibari,0,2
Abdibasid,0,22
Abdibasit,0,7
Abdicasiis,0,3
Abdicasis,0,3
Abdidahir,0,3
Abdideeq,0,3
Abdifadil,0,2
Abdifataah,0,12
Abdifataax,0,2
Abdifatah,0,464
Abdi-Fatah,0,5
Abdifatax,0,2
Abdifatha,0,3
Abdifattah,0,4
Abdifetah,0,8
Abdifitaah,0,5
Abdifitah,0,70
Abdigadar,0,5
Abdigadir,0,7
Abdigafar,0,5
Abdigani,0,47
Abdighani,0,2
Abdihaafid,0,2
Abdihafid,0,61
Abdihafiid,0,4
Abdihafit,0,2
Abdihaken,0,2
Abdihakiim,0,8
Abdihakiin,0,5
Abdihakim,0,132
Abdi-Hakim,0,2
Abdihakin,0,47
Abdihalim,0,10
Abdihamid,0,45
Abdihamiid,0,5
Abdii,0,3
Abdijabar,0,29
Abdijabbar,0,3
Abdijalil,0,6
Abdijamal,0,3
Abdijibaar,0,3
Abdijibar,0,11
Abdikaadir,0,2
Abdikaafi,0,11
Abdikadar,0,21
Abdikader,0,12
Abdikadir,0,162
Abdikafar,0,2
Abdikafi,0,62
Abdi-Kafi,0,2
Abdikalik,0,2
Abdikaliq,0,3
Abdikamil,0,4
Abdikani,0,56
Abdikareem,0,2
Abdikariim,0,11
Abdikariin,0,5
Abdikarim,0,219
Abdi-Karim,0,2
Abdikarin,0,57
Abdikeni,0,2
Abdikerim,0,2
Abdikhadar,0,34
Abdikhader,0,3
Abdikhadir,0,5
Abdikhafar,0,2
Abdikhalaq,0,5
Abdikhalik,0,6
Abdikhaliq,0,12
Abdikhani,0,14
Abdikhayr,0,2
Abdikrim,0,2
Abdil,0,9
Abdilaahi,0,11
Abdiladhif,0,3
Abdiladif,0,22
Abdiladiif,0,7
Abdilahi,0,39
Abdilatif,0,8
Abdilaziz,0,6
Abdilkadir,0,5
Abdillah,0,5
Abdillahi,0,87
Abdillatif,0,2
Abdilmajid,0,3
Abdilrahman,0,4
Abdimaalik,0,7
Abdimahad,0,14
Abdimain,0,3
Abdimajib,0,2
Abdimajid,0,51
Abdimajiid,0,9
Abdimalek,0,3
Abdimalig,0,5
Abdimalik,0,144
Abdi-Malik,0,6
Abdimanan,0,2
Abdimudalib,0,8
Abdimuhsin,0,2
Abdimunim,0,3
Abdin,0,15
Abdinaasir,0,13
Abdinafa,0,7
Abdinajib,0,39
Abdinajiib,0,2
Abdinaser,0,14
Abdi-Nasir,0,4
Abdinasir,0,291
Abdinasser,0,7
Abdinassir,0,7
Abdinejib,0,4
Abdinoor,0,10
Abdinor,0,5
Abdinour,0,4
Abdinur,0,42
Abdi-Nur,0,2
Abdinuur,0,11
Abdiqaadir,0,12
Abdiqadar,0,19
Abdiqader,0,4
Abdiqadir,0,49
Abdiqafar,0,24
Abdiqalik,0,2
