Contestant,Voter,Score,Artist,Song,Year
Germany,Ireland,2,Wind,Träume sind für alle da,1992
Turkey,Ireland,3,Aylin Vatankoş,Yaz Bitti,1992
Yugoslavia,Ireland,4,Extra Nena,Ljubim te pesmama,1992
France,Ireland,5,Kali,Monté la riviè,1992
Cyprus,Ireland,6,Evridiki,Teriazoume,1992
United Kingdom,Ireland,7,Michael Ball,One Step Out of Time,1992
Netherlands,Ireland,8,Humphrey Campbell,Wijs me de weg,1992
Malta,Ireland,10,Mary Spiteri,Little Child,1992
Austria,Ireland,12,Tony Wegas,Zusammen geh'n,1992
Finland,Israel,1,Pave Maijanen,"Yamma, yamma",1992
United Kingdom,Israel,2,Michael Ball,One Step Out of Time,1992
Cyprus,Israel,3,Evridiki,Teriazoume,1992
Iceland,Israel,4,Heart 2 Heart,Nei eða já,1992
Netherlands,Israel,5,Humphrey Campbell,Wijs me de weg,1992
Denmark,Israel,6,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
Greece,Israel,7,Cleopatra,Olou tou kosmou i Elpida,1992
Portugal,Israel,8,Dina,Amor d'água fresca,1992
Yugoslavia,Israel,10,Extra Nena,Ljubim te pesmama,1992
France,Israel,12,Kali,Monté la riviè,1992
Portugal,Italy,1,Dina,Amor d'água fresca,1992
Ireland,Italy,2,Linda Martin,Why Me?,1992
Malta,Italy,3,Mary Spiteri,Little Child,1992
Cyprus,Italy,4,Evridiki,Teriazoume,1992
Iceland,Italy,5,Heart 2 Heart,Nei eða já,1992
France,Italy,6,Kali,Monté la riviè,1992
Spain,Italy,7,Serafín,Todo esto es la música,1992
United Kingdom,Italy,8,Michael Ball,One Step Out of Time,1992
Switzerland,Italy,10,Daisy Auvray,Mister Music Man,1992
Greece,Italy,12,Cleopatra,Olou tou kosmou i Elpida,1992
Belgium,Luxembourg,1,Morgane,"Nous, on veut des violons",1992
Yugoslavia,Luxembourg,2,Extra Nena,Ljubim te pesmama,1992
Spain,Luxembourg,3,Serafín,Todo esto es la música,1992
Norway,Luxembourg,4,Merethe Trøan,Visjoner,1992
Iceland,Luxembourg,5,Heart 2 Heart,Nei eða já,1992
Denmark,Luxembourg,6,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
