Contestant,Voter,Score,Artist,Song,Year
Armenia,Georgia,10,Dorians,Lonely Planet,2013
Azerbaijan,Georgia,12,Farid Mammadov,Hold Me,2013
Finland,Germany,1,Krista Siegfrids,Marry Me,2013
Russia,Germany,2,Dina Garipova,What If,2013
Sweden,Germany,3,Robin Stjernberg,You,2013
Azerbaijan,Germany,4,Farid Mammadov,Hold Me,2013
Malta,Germany,5,Gianluca,Tomorrow,2013
Greece,Germany,6,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Norway,Germany,7,Margaret Berger,I Feed You My Love,2013
Iceland,Germany,8,Eythor Ingi,Ég á líf,2013
Denmark,Germany,10,Emmelie de Forest,Only Teardrops,2013
Hungary,Germany,12,ByeAlex,Kedvesem (Zoohacker Remix),2013
Belarus,Greece,1,Alyona Lanskaya,Solayoh,2013
Hungary,Greece,2,ByeAlex,Kedvesem (Zoohacker Remix),2013
Malta,Greece,3,Gianluca,Tomorrow,2013
Norway,Greece,4,Margaret Berger,I Feed You My Love,2013
Georgia,Greece,5,Nodi Tatishvili and Sophie Gelovani,Waterfall,2013
Italy,Greece,6,Marco Mengoni,L'essenziale,2013
Denmark,Greece,7,Emmelie de Forest,Only Teardrops,2013
Ukraine,Greece,8,Zlata Ognevich,Gravity,2013
Romania,Greece,10,Cezar,It's My Life,2013
Azerbaijan,Greece,12,Farid Mammadov,Hold Me,2013
Greece,Hungary,1,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Norway,Hungary,2,Margaret Berger,I Feed You My Love,2013
Armenia,Hungary,3,Dorians,Lonely Planet,2013
Belgium,Hungary,4,Roberto Bellarosa,Love Kills,2013
Netherlands,Hungary,5,Anouk,Birds,2013
Iceland,Hungary,6,Eythor Ingi,Ég á líf,2013
Ukraine,Hungary,7,Zlata Ognevich,Gravity,2013
Malta,Hungary,8,Gianluca,Tomorrow,2013
Denmark,Hungary,10,Emmelie de Forest,Only Teardrops,2013
Azerbaijan,Hungary,12,Farid Mammadov,Hold Me,2013
Russia,Iceland,1,Dina Garipova,What If,2013
France,Iceland,2,Amandine Bourgeois,L'enfer et moi,2013
Ukraine,Iceland,3,Zlata Ognevich,Gravity,2013
Sweden,Iceland,4,Robin Stjernberg,You,2013
Malta,Iceland,5,Gianluca,Tomorrow,2013
Romania,Iceland,6,Cezar,It's My Life,2013
Azerbaijan,Iceland,7,Farid Mammadov,Hold Me,2013
Netherlands,Iceland,8,Anouk,Birds,2013
Norway,Iceland,10,Margaret Berger,I Feed You My Love,2013
Denmark,Iceland,12,Emmelie de Forest,Only Teardrops,2013
Lithuania,Ireland,1,Andrius Pojavis,Something,2013
Azerbaijan,Ireland,2,Farid Mammadov,Hold Me,2013
Moldova,Ireland,3,Aliona Moon,O mie,2013
Belgium,Ireland,4,Roberto Bellarosa,Love Kills,2013
Sweden,Ireland,5,Robin Stjernberg,You,2013
Netherlands,Ireland,6,Anouk,Birds,2013
United Kingdom,Ireland,7,Bonnie Tyler,Believe in Me,2013
Ukraine,Ireland,8,Zlata Ognevich,Gravity,2013
Russia,Ireland,10,Dina Garipova,What If,2013
Denmark,Ireland,12,Emmelie de Forest,Only Teardrops,2013
Moldova,Israel,1,Aliona Moon,O mie,2013
Greece,Israel,2,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Belarus,Israel,3,Alyona Lanskaya,Solayoh,2013
Finland,Israel,4,Krista Siegfrids,Marry Me,2013
Germany,Israel,5,Cascada,Glorious,2013
Norway,Israel,6,Margaret Berger,I Feed You My Love,2013
Russia,Israel,7,Dina Garipova,What If,2013
Denmark,Israel,8,Emmelie de Forest,Only Teardrops,2013
